"","tract","total_population","rev","human_services1","education1","public1","religion1","oth1","arts1","health","total","ndi"
"425","192800",1203,3690272,5,0,0,0,2,1,0,8,-0.0571
"426","192900",1974,117484755,16,1,7,0,10,0,0,27,-0.0361
"427","193800",998,0,1,0,0,0,0,0,0,1,0.0098
"428","193900",977,11492203,1,1,1,0,1,0,0,3,0.0255
"429","194100",2236,53746,2,0,1,0,2,0,0,4,-0.0348
"430","194300",3401,205061,1,1,3,0,4,2,0,8,-0.0462
"431","194500",2229,48478334,2,1,1,1,5,4,1,14,-0.0527
"432","194800",847,1122916,0,0,4,0,4,1,0,5,-0.0138
"433","194900",3288,5077109,2,1,1,1,2,2,0,8,-0.0528
"434","195600",4487,0,2,0,0,0,0,0,0,2,-0.0107
"435","195700",4813,5080,1,0,1,0,3,0,2,6,-0.0044
"436","195800",3894,0,3,3,0,0,0,1,0,7,-0.0541
"437","195900",4147,5252764,8,6,3,0,11,3,3,31,-0.0489
"438","196000",1589,3415843,3,5,1,1,1,2,0,12,-0.0314
"439","196100",2472,882306,2,2,3,0,4,1,0,9,0.0207
"440","196200",4048,0,1,1,1,0,4,1,0,7,0.0739
"441","196300",3956,21877745,6,2,3,0,4,2,0,14,-0.0555
"442","196400",2920,0,0,0,1,0,1,0,0,1,0.0736
"443","196500",1492,180,2,1,0,0,0,0,0,3,0.087
