"","tract","total_population","rev","human_services1","education1","public1","religion1","oth1","arts1","health","total","ndi"
"119","118602",1836,7465754,2,1,0,0,0,0,0,3,0.1413
"120","118700",3953,293087542,7,11,4,1,6,8,4,37,0.0432
"121","118800",2780,38713787,5,8,3,0,4,5,0,22,0.0169
"122","118900",1743,24005301,2,0,1,0,1,0,3,6,0.0637
"123","119100",145,4100674571,0,7,1,1,1,0,6,15,-0.0078
"124","119202",1093,0,1,0,1,0,1,0,1,3,0.0582
"125","119300",3482,6423226,1,0,2,0,3,0,1,5,0.1179
"126","119401",1817,8086518,2,4,3,0,3,1,2,12,0.0252
"127","119402",1585,6362697,1,4,3,2,3,3,1,14,0.0755
"128","119501",2564,353871,3,2,0,1,0,0,0,6,0.0116
"129","119502",1909,2796278,0,1,0,0,1,6,0,8,0.0328
"130","119600",1714,5624340,1,1,0,2,0,0,0,4,0.0576
"131","119701",1428,153767,1,0,0,0,0,1,0,2,0.0347
"132","119702",1656,0,0,0,0,0,0,0,0,0,0.0904
"133","119800",3026,2332938,2,0,0,1,0,0,1,4,0.0919
"134","119900",1755,1243255,0,0,0,1,0,0,0,1,0.0455
"135","120200",2336,77176,1,0,1,0,1,0,0,2,0.1096
"136","120400",2263,1871556,0,1,0,0,1,0,0,2,0.094
"137","120500",2518,0,0,0,2,0,2,0,0,2,0.0906
"138","120600",2651,302419,1,1,0,0,0,0,0,2,0.0613
"139","120701",1197,21424943,0,0,2,0,2,0,1,3,0.0794
"140","120702",1647,0,1,0,0,1,0,0,0,2,0.0639
"141","120801",2193,0,0,0,0,0,0,0,0,0,0.0448
"142","120802",2298,0,0,0,0,0,1,0,0,1,0.0793
"143","121100",2503,0,0,0,0,0,0,0,0,0,0.0763
"144","121200",1603,4183405,0,1,0,0,0,0,0,1,0.0712
"145","121300",2119,0,0,0,1,2,1,0,0,3,0.0908
"146","121401",1854,5426769,3,1,1,0,1,1,0,6,0.0777
"147","121403",2581,0,0,0,0,0,0,0,0,0,0.0689
"148","121500",2959,511947,1,1,1,1,1,0,0,4,0.0526
"149","121700",3895,66128,2,0,1,0,1,1,0,4,0.0211
"150","121800",1638,6998,2,2,0,0,0,0,1,5,0.0228
"151","121900",1132,0,0,0,0,0,0,0,0,0,0.0401
"152","122100",3480,1852220,3,0,0,1,0,1,0,5,0.0302
"153","122200",1737,0,1,0,1,0,1,1,0,3,0.0491
"154","122300",1604,938421,1,0,0,0,0,0,0,1,0.0422
"155","123100",2583,10594,0,1,1,0,1,1,0,3,-0.0457
"156","123200",3152,150484,1,1,2,0,3,1,0,6,-0.0246
"157","123400",3823,7172516,3,0,2,1,6,0,1,11,-0.0217
"158","123501",3504,535359,3,0,1,0,1,0,2,6,0.0335
"159","123502",2716,139408,0,1,2,1,3,1,1,7,0.0185
"160","123601",3210,51626,0,0,0,0,0,1,0,1,-0.0223
"161","123602",2987,79460,1,1,1,0,1,0,0,3,0.0065
"162","123603",3333,1408067,2,0,4,0,5,1,0,8,-0.0228
"163","123700",2627,1056567,2,0,0,0,0,1,0,3,-0.0165
"164","123800",2339,0,0,0,1,0,1,0,0,1,0.114
"165","123900",2964,0,0,0,0,0,1,0,0,1,0.0205
"166","124100",5246,0,0,1,0,0,0,0,0,1,0.0333
"167","124201",2481,3475701,1,0,0,0,0,1,0,2,0.0066
"168","124202",1718,2338045,0,1,0,0,1,0,0,2,0.0289
"169","124300",4419,63230,1,1,1,0,1,0,0,3,0.0313
"170","124500",3808,1213575,1,2,2,0,2,0,0,5,0.0107
"171","124600",3877,5761294,1,2,0,0,0,0,0,3,0.0317
"172","126100",2907,482118,2,1,0,0,0,0,0,3,0.0136
"173","127501",2861,661357,1,0,1,0,1,0,0,2,0.0685
"174","130103",4387,312200,3,1,4,1,5,0,1,11,-0.059
"175","130104",4123,3499791,11,4,5,2,6,2,2,27,-0.0541
"176","130105",3508,3205058,2,69,0,0,2,0,0,73,-0.0465
"177","130106",3396,218179,4,0,2,0,2,1,0,7,-0.0424
"178","131102",3269,114909223,26,7,5,23,7,383,9,455,-0.0446
"179","131103",4155,3850328,2,3,2,2,2,0,4,13,-0.0548
"180","131104",4362,73010292,3,1,3,1,3,1,0,9,-0.0461
"181","132100",4932,2707437,4,3,2,0,5,0,0,12,4e-04
"182","132200",2783,507543,7,4,2,1,3,2,2,19,-0.0191
"183","132301",3187,8336,1,2,0,0,0,1,0,4,-0.0182
"184","132302",1880,957866,3,0,3,0,3,2,0,8,0.02
"185","133103",3585,860352,5,1,0,0,1,3,0,10,0.0224
"186","133104",2568,0,1,0,1,0,3,0,0,4,0.0295
"187","134100",1424,91065,0,0,1,1,2,1,0,4,-0.0178
"188","134203",3508,785958,2,1,1,1,2,1,0,7,-0.0421
"189","134204",4300,516458,2,0,1,1,2,0,2,7,0.0076
"190","134205",2668,0,0,0,0,0,0,0,0,0,-0.0367
"191","134206",3020,0,1,0,0,0,1,0,0,2,-0.0285
"192","134300",4029,150175068,6,14,6,2,14,4,1,41,-0.0112
"193","135103",2175,322563,2,1,2,1,3,1,0,8,-0.04
"194","135104",4189,1336826,1,1,0,1,1,1,2,7,-0.0522
"195","135105",5808,366968498,9,2,4,0,7,7,4,29,-0.0423
"196","135106",1298,727864,4,0,5,0,5,0,2,11,-0.0522
"197","136101",5652,0,2,2,1,0,1,0,0,5,-0.0411
"198","136102",7712,1441238,5,1,1,0,7,5,1,19,-0.0505
"199","136103",5893,11783192,5,2,3,0,4,4,3,18,-0.0379
"200","137101",2325,367399340,19,19,4,7,19,5,1,70,0.0045
"201","137102",4381,320212,1,1,2,0,5,0,0,7,-0.0121
"202","137103",4230,0,0,0,0,0,0,0,0,0,-0.0231
"203","138105",1183,0,0,0,0,0,1,0,0,1,0.0216
"204","138106",3344,19862338,5,0,3,0,7,3,1,16,-0.0068
"205","138107",2030,119015,2,0,2,0,2,0,0,4,-0.0105
"206","138108",4112,0,0,0,0,0,1,0,0,1,-0.0073
"207","138109",4018,9011044,5,0,3,1,3,1,0,10,-0.0127
"208","138110",4188,0,1,0,0,0,0,0,0,1,-0.0165
"209","140100",1410,0,2,0,0,0,0,0,0,2,-0.0072
"210","140301",2657,1903520,1,0,0,1,0,0,0,2,0.0466
"211","140302",2429,1674118,3,0,1,0,1,0,0,4,-0.0065
"212","140400",2513,484698,1,0,2,0,2,2,0,5,-8e-04
"213","140500",3616,160916,2,2,0,0,0,4,0,8,0.0233
"214","140600",1002,145703,0,0,1,0,1,2,0,3,-0.005
"215","140701",2565,16607960,3,2,1,0,5,2,0,12,0.0285
"216","140702",1745,6513033,1,2,0,2,1,0,0,6,0.0105
"217","140800",3690,1706348,5,4,3,4,9,4,3,29,-0.0043
"218","140900",1980,368432,0,1,1,1,1,0,0,3,0.0018
"219","141000",1025,164784,0,0,0,0,1,0,0,1,0.059
"220","141100",4179,241574,4,0,0,0,0,1,1,6,-0.024
"221","141200",3204,1216294,0,2,1,0,1,3,0,6,-0.0404
"222","141300",2874,2352329,2,3,1,1,1,2,1,10,-0.0394
"223","141400",2476,1178204,4,1,1,0,1,1,1,8,-0.0536
"224","141500",1707,534048,1,0,0,1,0,1,0,3,-0.0422
"225","141601",1572,5053580,2,2,4,1,5,0,0,10,-0.0478
"226","141602",1510,436531,2,1,0,1,0,2,0,6,-0.0031
"227","141700",1417,1442,0,1,1,0,1,2,0,4,-0.0484
"228","150100",2157,0,1,0,1,0,1,0,0,2,0.0648
"229","150300",1566,0,0,0,0,0,0,0,0,0,0.0673
"230","150400",1660,250,1,1,0,0,0,0,0,2,0.1119
"231","151100",1386,0,1,0,0,0,0,0,0,1,0.0869
"232","151200",1678,0,0,0,0,0,0,0,0,0,0.0623
"233","151300",2104,1892559,4,0,1,0,1,0,0,5,0.0477
"234","151400",1364,44936,1,0,0,0,0,0,1,2,0.0463
"235","151500",1306,0,0,0,0,2,0,0,0,2,0.0784
"236","151600",1391,0,0,0,0,0,0,0,0,0,0.0644
"237","151700",1107,94000,1,0,0,0,0,0,0,1,0.0545
"238","151800",1694,0,0,1,0,0,0,0,0,1,0.0847
"239","152101",2493,86575,4,1,0,0,1,1,0,7,-0.0355
"240","152102",4267,249804,4,2,0,1,0,0,0,7,0.0134
"241","152201",2910,78576,0,0,0,0,0,1,0,1,0.0179
"242","152202",4221,3783830,4,1,2,0,2,1,0,8,0.0117
"243","152301",2797,0,0,0,0,0,0,0,0,0,-0.0021
"244","152302",4474,38576,1,0,0,0,3,0,0,4,-0.0048
"245","152303",3529,479130,2,0,6,0,8,1,1,12,-4e-04
"246","152400",1739,135153,1,0,2,0,4,1,1,7,-0.0013
"247","152501",3528,26886,0,0,1,0,2,0,0,2,-0.0159
"248","152502",2397,10873426,5,2,2,0,3,0,0,10,0.0391
"249","152603",1094,50686,1,0,0,0,0,1,0,2,0.0129
"250","152604",3928,8002,2,1,0,0,1,0,0,4,0.0372
"251","152701",2225,0,0,1,0,0,0,0,0,1,0.0637
"252","152702",2299,11620477,3,0,0,0,0,0,0,3,-0.004
"253","152703",1914,7923925,0,0,1,0,1,1,1,3,-0.0248
"254","153103",2380,1765437,8,2,4,0,4,1,0,15,-0.0335
"255","153104",3101,0,2,0,1,0,1,0,0,3,-0.0304
"256","153105",3906,22399,2,0,1,0,1,1,0,4,-0.0261
"257","153106",3669,2236949,7,3,5,0,5,0,4,19,-0.0352
"258","153107",3417,0,1,0,1,0,1,3,0,5,-0.0287
"259","154100",2020,421317,2,0,1,1,1,1,0,5,0.02
"260","154200",1218,0,0,0,0,0,1,0,1,2,-0.0081
"261","154300",1068,0,0,0,0,0,0,0,0,0,0.0536
"262","154400",2970,92649,1,0,0,0,0,1,0,2,0.0258
"263","154501",3285,20814265,3,3,2,0,4,1,1,12,0.0067
"264","154502",3000,0,1,1,0,0,0,0,0,2,1e-04
"265","154601",4777,18236029,3,0,0,0,1,0,0,4,0.0059
"266","154603",3262,3842,0,0,0,0,0,2,1,3,-0.0126
"267","154604",4022,13548,1,0,0,1,1,0,0,3,-0.0019
"268","154700",2585,5734291,4,0,1,0,1,0,0,5,0.0662
"269","155101",5203,169806,6,4,1,2,3,0,3,18,-0.0456
"270","155102",3163,134861,0,3,1,0,1,1,0,5,-0.0324
